127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/images/facebook.png, HTTP/1.1, 304, 0.000255
127.0.0.1, 2013-10-07 18:17:38, GET, /lecture3/static/images/gplus-32.png, HTTP/1.1, 304, 0.000211
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/default/second, HTTP/1.1, 200, 0.017794
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000416
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/js/jquery.js, HTTP/1.1, 304, 0.000318
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/css/calendar.css, HTTP/1.1, 304, 0.000305
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/js/calendar.js, HTTP/1.1, 304, 0.000252
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/js/web2py.js, HTTP/1.1, 304, 0.000300
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/css/web2py.css, HTTP/1.1, 304, 0.000426
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000381
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000293
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000260
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000252
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000287
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/js/share.js, HTTP/1.1, 304, 0.000249
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/images/twitter.png, HTTP/1.1, 304, 0.000358
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/images/gplus-32.png, HTTP/1.1, 304, 0.000282
127.0.0.1, 2013-10-07 18:17:41, GET, /lecture3/static/images/facebook.png, HTTP/1.1, 304, 0.000243
127.0.0.1, 2013-10-07 18:17:42, GET, /lecture3/default/second, HTTP/1.1, 200, 0.021038
127.0.0.1, 2013-10-07 18:17:42, GET, /lecture3/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000438
127.0.0.1, 2013-10-07 18:17:42, GET, /lecture3/static/js/jquery.js, HTTP/1.1, 304, 0.000263
127.0.0.1, 2013-10-07 18:17:42, GET, /lecture3/static/css/calendar.css, HTTP/1.1, 304, 0.000271
127.0.0.1, 2013-10-07 18:17:42, GET, /lecture3/static/js/calendar.js, HTTP/1.1, 304, 0.000258
127.0.0.1, 2013-10-07 18:17:42, GET, /lecture3/static/js/web2py.js, HTTP/1.1, 304, 0.000348
127.0.0.1, 2013-10-07 18:17:42, GET, /lecture3/static/css/web2py.css, HTTP/1.1, 304, 0.000310
127.0.0.1, 2013-10-07 18:17:43, GET, /lecture3/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000375
127.0.0.1, 2013-10-07 18:17:43, GET, /lecture3/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000269
127.0.0.1, 2013-10-07 18:17:43, GET, /lecture3/static/js/share.js, HTTP/1.1, 304, 0.000354
127.0.0.1, 2013-10-07 18:17:43, GET, /lecture3/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000274
127.0.0.1, 2013-10-07 18:17:43, GET, /lecture3/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000306
127.0.0.1, 2013-10-07 18:17:43, GET, /lecture3/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000228
127.0.0.1, 2013-10-07 18:17:43, GET, /lecture3/static/images/twitter.png, HTTP/1.1, 304, 0.000307
127.0.0.1, 2013-10-07 18:17:43, GET, /lecture3/static/images/facebook.png, HTTP/1.1, 304, 0.000205
127.0.0.1, 2013-10-07 18:17:43, GET, /lecture3/static/images/gplus-32.png, HTTP/1.1, 304, 0.000166
127.0.0.1, 2013-10-07 18:18:15, GET, /lecture3/default/second, HTTP/1.1, 200, 0.074255
127.0.0.1, 2013-10-07 18:18:18, GET, /lecture3/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000426
127.0.0.1, 2013-10-07 18:18:18, GET, /lecture3/static/css/calendar.css, HTTP/1.1, 200, 0.000421
127.0.0.1, 2013-10-07 18:18:18, GET, /lecture3/static/css/web2py.css, HTTP/1.1, 200, 0.000419
127.0.0.1, 2013-10-07 18:18:18, GET, /lecture3/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000386
127.0.0.1, 2013-10-07 18:18:18, GET, /lecture3/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000381
127.0.0.1, 2013-10-07 18:18:18, GET, /lecture3/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000369
127.0.0.1, 2013-10-07 18:18:18, GET, /lecture3/static/js/jquery.js, HTTP/1.1, 200, 0.000524
127.0.0.1, 2013-10-07 18:18:18, GET, /lecture3/static/js/calendar.js, HTTP/1.1, 200, 0.000390
127.0.0.1, 2013-10-07 18:18:18, GET, /lecture3/static/js/web2py.js, HTTP/1.1, 200, 0.000402
127.0.0.1, 2013-10-07 18:18:18, GET, /lecture3/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000286
127.0.0.1, 2013-10-07 18:18:18, GET, /lecture3/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000281
127.0.0.1, 2013-10-07 18:18:18, GET, /lecture3/static/js/share.js, HTTP/1.1, 200, 0.000299
127.0.0.1, 2013-10-07 18:18:20, GET, /lecture3/static/images/twitter.png, HTTP/1.1, 200, 0.000450
127.0.0.1, 2013-10-07 18:18:20, GET, /lecture3/static/images/facebook.png, HTTP/1.1, 200, 0.000407
127.0.0.1, 2013-10-07 18:18:20, GET, /lecture3/static/images/gplus-32.png, HTTP/1.1, 200, 0.000389
127.0.0.1, 2013-10-07 18:18:24, GET, /lecture3/default/second, HTTP/1.1, 200, 0.045831
127.0.0.1, 2013-10-07 18:18:24, GET, /lecture3/static/css/calendar.css, HTTP/1.1, 304, 0.000533
127.0.0.1, 2013-10-07 18:18:24, GET, /lecture3/static/js/calendar.js, HTTP/1.1, 304, 0.000337
127.0.0.1, 2013-10-07 18:18:24, GET, /lecture3/static/js/web2py.js, HTTP/1.1, 304, 0.000761
127.0.0.1, 2013-10-07 18:18:24, GET, /lecture3/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000566
127.0.0.1, 2013-10-07 18:18:24, GET, /lecture3/static/css/web2py.css, HTTP/1.1, 304, 0.002235
127.0.0.1, 2013-10-07 18:18:24, GET, /lecture3/static/js/jquery.js, HTTP/1.1, 304, 0.008492
127.0.0.1, 2013-10-07 18:18:24, GET, /lecture3/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000371
127.0.0.1, 2013-10-07 18:18:24, GET, /lecture3/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000430
127.0.0.1, 2013-10-07 18:18:24, GET, /lecture3/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001344
127.0.0.1, 2013-10-07 18:18:24, GET, /lecture3/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000742
127.0.0.1, 2013-10-07 18:18:24, GET, /lecture3/static/js/share.js, HTTP/1.1, 304, 0.001122
127.0.0.1, 2013-10-07 18:18:25, GET, /lecture3/static/images/twitter.png, HTTP/1.1, 304, 0.000376
127.0.0.1, 2013-10-07 18:18:25, GET, /lecture3/static/images/facebook.png, HTTP/1.1, 304, 0.000366
127.0.0.1, 2013-10-07 18:18:25, GET, /lecture3/static/images/gplus-32.png, HTTP/1.1, 304, 0.000292
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/default/second, HTTP/1.1, 200, 0.023720
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/css/calendar.css, HTTP/1.1, 304, 0.000659
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/js/jquery.js, HTTP/1.1, 304, 0.001334
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/js/calendar.js, HTTP/1.1, 304, 0.002859
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/js/web2py.js, HTTP/1.1, 304, 0.001557
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/css/web2py.css, HTTP/1.1, 304, 0.001432
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001110
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000315
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001180
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000450
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001104
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000444
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/js/share.js, HTTP/1.1, 304, 0.000350
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000266
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/js/share.js, HTTP/1.1, 304, 0.000389
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/images/twitter.png, HTTP/1.1, 304, 0.000260
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/images/facebook.png, HTTP/1.1, 304, 0.000233
127.0.0.1, 2013-10-07 18:18:27, GET, /lecture3/static/images/gplus-32.png, HTTP/1.1, 304, 0.000207
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/default/second, HTTP/1.1, 200, 0.021710
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001089
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/js/jquery.js, HTTP/1.1, 304, 0.000329
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/css/calendar.css, HTTP/1.1, 304, 0.000389
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/js/calendar.js, HTTP/1.1, 304, 0.000272
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/js/web2py.js, HTTP/1.1, 304, 0.000384
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/css/web2py.css, HTTP/1.1, 304, 0.000214
127.0.0.1, 2013-10-07 18:18:31, GET, /lecture3/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000175
